timestamp,target_x,target_y,gaze_x,gaze_y,error_x,error_y,error_distance,target_index
1763690700.687275,1286,147,667,234,-619,87,625.0839943559586,2
1763690700.724607,1286,147,833,452,-453,305,546.1080479172597,2
1763690700.7671192,1286,147,863,427,-423,280,507.2760589659244,2
1763690700.8061938,1286,147,878,417,-408,270,489.24840316550853,2
1763690700.844966,1286,147,869,423,-417,276,500.06499577554916,2
1763690700.8939378,1286,147,878,413,-408,266,487.05235858170323,2
1763690700.92996,1286,147,1501,981,215,834,861.2670898159292,2
1763690700.9649448,1286,147,1491,981,205,834,858.8253605943411,2
1763690701.0024781,1286,147,1481,981,195,834,856.4934325492519,2
1763690701.043812,226,491,1476,981,1250,490,1342.6093996393738,3
1763690701.081364,226,491,1478,981,1252,490,1344.4716434346988,3
1763690701.120422,226,491,1481,981,1255,490,1347.2657495832068,3
1763690701.1568499,226,491,1483,981,1257,490,1349.1289782670892,3
1763690701.194761,226,491,1478,981,1252,490,1344.4716434346988,3
1763690701.229892,226,491,1476,981,1250,490,1342.6093996393738,3
1763690701.269727,226,491,1468,981,1242,490,1335.1644093518971,3
1763690701.3081222,226,491,1471,981,1245,490,1337.9555299037409,3
1763690701.3496268,226,491,1434,981,1208,490,1303.596563358465,3
1763690701.388941,226,491,1369,981,1143,490,1243.6032325464582,3
1763690701.4267268,226,491,1367,981,1141,490,1241.7652757264555,3
1763690701.4683032,226,491,1367,981,1141,490,1241.7652757264555,3
1763690701.506496,226,491,1364,981,1138,490,1239.0092816440076,3
1763690701.548237,226,491,1357,981,1131,490,1232.583060081551,3
1763690701.588405,226,491,1354,981,1128,490,1229.8308826826558,3
1763690701.625132,226,491,1354,981,1128,490,1229.8308826826558,3
1763690701.667955,226,491,1354,981,1128,490,1229.8308826826558,3
1763690701.710927,226,491,1357,981,1131,490,1232.583060081551,3
1763690701.749544,226,491,1349,981,1123,490,1225.2465058101573,3
1763690701.785161,226,491,1347,981,1121,490,1223.413666753809,3
1763690701.827049,226,491,1344,981,1118,490,1220.6653923168299,3
1763690701.869626,226,491,1342,981,1116,490,1218.8338689091306,3
1763690701.906443,226,491,1342,981,1116,490,1218.8338689091306,3
1763690701.942858,226,491,1344,981,1118,490,1220.6653923168299,3
1763690701.982319,226,491,1347,981,1121,490,1223.413666753809,3
1763690702.020554,226,491,1344,981,1118,490,1220.6653923168299,3
1763690702.062598,226,491,1342,981,1116,490,1218.8338689091306,3
1763690702.1009731,226,491,1339,981,1113,490,1216.0875790830198,3
1763690702.138176,226,491,1337,981,1111,490,1214.2573862241893,3
1763690702.17438,226,491,1334,981,1108,490,1211.5131035197267,3
1763690702.216012,226,491,1332,981,1106,490,1209.684256324765,3
1763690702.2525709,226,491,1332,981,1106,490,1209.684256324765,3
1763690702.294998,226,491,1332,981,1106,490,1209.684256324765,3
1763690702.332702,226,491,1327,981,1101,490,1205.1145173799873,3
1763690702.370176,226,491,1321,981,1095,490,1199.6353612660807,3
1763690702.413795,226,491,1319,981,1093,490,1197.8100851136628,3
1763690702.450767,226,491,1319,981,1093,490,1197.8100851136628,3
1763690702.49379,226,491,1319,981,1093,490,1197.8100851136628,3
1763690702.529064,226,491,1316,981,1090,490,1195.0732195141852,3
1763690702.5666718,226,491,1314,981,1088,490,1193.2493452753286,3
1763690702.603629,226,491,1311,981,1085,490,1190.5145946186465,3
1763690702.647027,226,491,1306,981,1080,490,1185.9595271340418,3
1763690702.686888,226,491,1301,981,1075,490,1181.4080582085091,3
1763690702.723115,226,491,1301,981,1075,490,1181.4080582085091,3
1763690702.760652,226,491,1304,981,1078,490,1184.1385054122682,3
1763690702.7995672,226,491,1309,981,1083,490,1188.6921384446016,3
1763690702.8395321,226,491,1316,981,1090,490,1195.0732195141852,3
1763690702.876396,226,491,1329,981,1103,490,1206.9420035776368,3
1763690702.919193,226,491,1339,981,1113,490,1216.0875790830198,3
1763690702.9549282,226,491,1342,981,1116,490,1218.8338689091306,3
1763690702.998369,226,491,1337,981,1111,490,1214.2573862241893,3
1763690703.0358899,226,491,1327,981,1101,490,1205.1145173799873,3
1763690703.0733812,756,491,1316,981,560,490,744.1102068914255,4
1763690703.117225,756,491,1311,981,555,490,740.3546447480423,4
1763690703.154322,756,491,1314,981,558,490,742.6062213582646,4
1763690703.196608,756,491,1319,981,563,490,746.3705514019159,4
1763690703.2337658,756,491,1324,981,568,490,750.1493184693298,4
1763690703.27629,756,491,1329,981,573,490,753.9423054849755,4
1763690703.3145359,756,491,1329,981,573,490,753.9423054849755,4
1763690703.350574,756,491,1329,981,573,490,753.9423054849755,4
1763690703.387617,756,491,1369,981,613,490,784.7732156489542,4
1763690703.428812,756,491,1409,981,653,490,816.4000244977948,4
1763690703.471505,756,491,1406,981,650,490,814.0024569987488,4
1763690703.5092978,756,491,1406,981,650,490,814.0024569987488,4
1763690703.547102,756,491,1409,981,653,490,816.4000244977948,4
1763690703.5822458,756,491,1409,981,653,490,816.4000244977948,4
1763690703.6216152,756,491,1411,981,655,490,818.0006112467154,4
1763690703.662949,756,491,1409,981,653,490,816.4000244977948,4
1763690703.6992269,756,491,1406,981,650,490,814.0024569987488,4
1763690703.742929,756,491,1399,981,643,490,808.4237750091223,4
1763690703.7796302,756,491,1397,981,641,490,806.8339358257064,4
1763690703.821891,756,491,1397,981,641,490,806.8339358257064,4
1763690703.867724,756,491,1399,981,643,490,808.4237750091223,4
1763690703.910526,756,491,1397,981,641,490,806.8339358257064,4
1763690703.946934,756,491,1394,981,638,490,804.4526089211222,4
1763690703.981607,756,491,1394,981,638,490,804.4526089211222,4
1763690704.018761,756,491,1392,981,636,490,802.8673613991292,4
1763690704.062093,756,491,1389,981,633,490,800.492973110945,4
1763690704.102612,756,491,1387,981,631,490,798.9123856844378,4
1763690704.147798,756,491,1392,981,636,490,802.8673613991292,4
1763690704.19138,756,491,1394,981,638,490,804.4526089211222,4
1763690704.2314198,756,491,1399,981,643,490,808.4237750091223,4
1763690704.268459,756,491,1399,981,643,490,808.4237750091223,4
1763690704.310365,756,491,1397,981,641,490,806.8339358257064,4
1763690704.346397,756,491,1394,981,638,490,804.4526089211222,4
1763690704.3824892,756,491,1394,981,638,490,804.4526089211222,4
1763690704.419817,756,491,1397,981,641,490,806.8339358257064,4
1763690704.4627872,756,491,1399,981,643,490,808.4237750091223,4
1763690704.5007942,756,491,1399,981,643,490,808.4237750091223,4
1763690704.549265,756,491,1399,981,643,490,808.4237750091223,4
1763690704.5872571,756,491,1397,981,641,490,806.8339358257064,4
1763690704.622752,756,491,1401,981,645,490,810.0154319517623,4
1763690704.659443,756,491,1401,981,645,490,810.0154319517623,4
1763690704.6943512,756,491,1401,981,645,490,810.0154319517623,4
1763690704.7347999,756,491,1399,981,643,490,808.4237750091223,4
1763690704.7787561,756,491,1397,981,641,490,806.8339358257064,4
1763690704.8218439,756,491,1392,981,636,490,802.8673613991292,4
1763690704.8623822,756,491,1392,981,636,490,802.8673613991292,4
1763690704.90013,756,491,1394,981,638,490,804.4526089211222,4
1763690704.9386399,756,491,1397,981,641,490,806.8339358257064,4
1763690704.973418,756,491,1397,981,641,490,806.8339358257064,4
1763690705.0092402,756,491,1397,981,641,490,806.8339358257064,4
1763690705.0474958,756,491,1394,981,638,490,804.4526089211222,4
1763690705.085541,1286,491,1389,981,103,490,500.70849803054074,5
1763690705.122432,1286,491,1384,981,98,490,499.7039123320929,5
1763690705.1663659,1286,491,1382,981,96,490,499.31553150287647,5
1763690705.206589,1286,491,1382,981,96,490,499.31553150287647,5
1763690705.24267,1286,491,1384,981,98,490,499.7039123320929,5
1763690705.286122,1286,491,1384,981,98,490,499.7039123320929,5
1763690705.3231602,1286,491,1387,981,101,490,500.3009094535008,5
1763690705.360944,1286,491,1461,981,175,490,520.3124061561477,5
1763690705.396265,1286,491,1464,981,178,490,521.3290707413121,5
1763690705.4343328,1286,491,1473,981,187,490,524.4702088774919,5
1763690705.474119,1286,491,1481,981,195,490,527.3755777432247,5
1763690705.518187,1286,491,1488,981,202,490,530.0037735714718,5
1763690705.5557702,1286,491,1496,981,210,490,533.1041174104736,5
1763690705.5929532,1286,491,1496,981,210,490,533.1041174104736,5
1763690705.62916,1286,491,1493,981,207,490,531.9295066077835,5
1763690705.666674,1286,491,1493,981,207,490,531.9295066077835,5
1763690705.7077608,1286,491,1493,981,207,490,531.9295066077835,5
1763690705.7461162,1286,491,1488,981,202,490,530.0037735714718,5
1763690705.7819269,1286,491,1488,981,202,490,530.0037735714718,5
1763690705.8179169,1286,491,1493,981,207,490,531.9295066077835,5
1763690705.852722,1286,491,1493,981,207,490,531.9295066077835,5
1763690705.8901188,1286,491,1493,981,207,490,531.9295066077835,5
1763690705.930222,1286,491,1491,981,205,490,531.1544031635245,5
1763690705.965699,1286,491,1486,981,200,490,529.2447448959697,5
1763690706.0020878,1286,491,1481,981,195,490,527.3755777432247,5
1763690706.04025,1286,491,1481,981,195,490,527.3755777432247,5
1763690706.076159,1286,491,1481,981,195,490,527.3755777432247,5
1763690706.1145852,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.156346,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.193865,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.2291799,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.265802,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.300409,1286,491,1476,981,190,490,525.5473337388365,5
1763690706.338393,1286,491,1476,981,190,490,525.5473337388365,5
1763690706.380509,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.417624,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.454792,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.492646,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.528492,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.56397,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.6130948,1286,491,1481,981,195,490,527.3755777432247,5
